Tertiary emotion,value
admiration,20
amusement,3
annoyance,1
approval,3
caring,5
curiosity,2
desire,1
disappointment,5
disapproval,1
disgust,1
excitement,2
gratitude,1
joy,1
love,10
neutral,106
sadness,2
surprise,1
